"CountryCode","WaterbaseID","NationalStationID","PopulationDensity","UWWT","OverflowsDischarges","IPPC","nonIPPC","Fertiliser","Pesticide","Livestock","TransportInfrastructure","PublicWaterSupply","Industry","Irrigation","Cooling","WaterFlowRegulation","Remarks","QA_station_problem","QA_datatype_errors"
"ES","ES_LK_ES110172","ES110172",20.0548921117486,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110178","ES110178",43.2171796031101,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110179","ES110179",33.2005273451746,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110180","ES110180",72.754459297642,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110181","ES110181",22.5622903269361,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110182","ES110182",7.79636363636364,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110183","ES110183",20.9130434782609,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110184","ES110184",19.1495465627742,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110185","ES110185",34.7316564577865,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110186","ES110186",15.0213324934426,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110187","ES110187",33.4088301873267,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110188","ES110188",12.4356748224152,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110189","ES110189",8.76040494938132,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110190","ES110190",18.4483102501866,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110191","ES110191",19.5460992907802,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110192","ES110192",124.541732684945,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110193","ES110193",5.99134047902608,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110194","ES110194",9.05070856662984,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110195","ES110195",5.73908062819338,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110196","ES110196",7.77468084469296,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110197","ES110197",10.8443231197409,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110198","ES110198",58.8185381403721,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110199","ES110199",3.61242236024845,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110200","ES110200",7.68813517821493,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110201","ES110201",12.8074418604651,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110202","ES110202",18.1280303309806,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110203","ES110203",15.9423736097009,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110204","ES110204",26.749196590876,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110206","ES110206",6.07142857142856,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110248","ES110248",22.5622903269361,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES110298","ES110298",12.8074418604651,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES140032","ES140032",52.6948009742369,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES140065","ES140065",43.1630971993412,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES140107","ES140107",98.7017055841307,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES140117","ES140117",295.215025840591,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES140127","ES140127",74.4301946318743,"","","","","","","","","","","","","","","",""
"ES","ES_LK_ES140131","ES140131",75.5339805825244,"","","","","","","","","","","","","","","",""
